Geo_FIPS,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009
48201453402,2498,1726,1123,603,232,371,772,554,218
48201453403,1376,776,378,398,71,327,600,355,245
48201453501,2022,1553,958,595,187,408,469,217,252
48201453502,1057,802,474,328,132,196,255,119,136
48201453601,673,521,307,214,72,142,152,112,40
48201453602,2460,1699,1094,605,37,568,761,348,413
48201453700,2431,1727,943,784,258,526,704,372,332
48201453800,1069,864,587,277,87,190,205,103,102
48201453900,2842,2345,1612,733,215,518,497,318,179
48201454000,1300,1176,811,365,173,192,124,36,88
48201454100,1130,944,676,268,64,204,186,91,95
48201454200,1183,942,709,233,110,123,241,127,114
48201454301,4470,2709,1680,1029,160,869,1761,1018,743
48201454302,2327,1712,989,723,212,511,615,258,357
48201454400,274,117,82,35,9,26,157,108,49
48201454501,2832,2530,2390,140,52,88,302,125,177
48201454502,797,693,603,90,39,51,104,61,43
48201454600,2089,1289,971,318,36,282,800,380,420
