FID,OBJECTID,Join_Count,TARGET_FID,JOIN_FID,GEOID,NAMELSAD,ALAND,AWATER,INTPTLAT,INTPTLON,KCTA_NAME_,KCTA_ID,Region,Shape_Leng,Shape_Area
67,68,1,18,99,48201212300,Census Tract 2123,3214638.000000000000000,28436.000000000000000,+29.7747755,-95.3550489,Near Northside,K002,Inner Loop,25906.554278200001000,34900447.909100004000000
68,69,1,18,136,48201212300,Census Tract 2123,3214638.000000000000000,28436.000000000000000,+29.7747755,-95.3550489,Washington East,K029,Inner Loop,25906.554278200001000,34900447.909100004000000
69,70,1,19,34,48201212400,Census Tract 2124,8124430.000000000000000,17298.000000000000000,+29.7863474,-95.2850878,Denver Harbor / Port Houston,K005,Inner Loop,56233.502951000002000,87618004.229200006000000
70,71,1,19,42,48201212400,Census Tract 2124,8124430.000000000000000,17298.000000000000000,+29.7863474,-95.2850878,El Dorado / Oates Prairie,K051,BW 8,56233.502951000002000,87618004.229200006000000
71,72,1,19,47,48201212400,Census Tract 2124,8124430.000000000000000,17298.000000000000000,+29.7863474,-95.2850878,Fifth Ward,K003,Inner Loop,56233.502951000002000,87618004.229200006000000
72,73,1,19,68,48201212400,Census Tract 2124,8124430.000000000000000,17298.000000000000000,+29.7863474,-95.2850878,Jacinto City,K055,BW 8,56233.502951000002000,87618004.229200006000000
73,74,1,19,70,48201212400,Census Tract 2124,8124430.000000000000000,17298.000000000000000,+29.7863474,-95.2850878,Kashmere Gardens,K004,Inner Loop,56233.502951000002000,87618004.229200006000000
74,75,1,19,100,48201212400,Census Tract 2124,8124430.000000000000000,17298.000000000000000,+29.7863474,-95.2850878,Northshore,K054,BW 8,56233.502951000002000,87618004.229200006000000
75,76,1,19,108,48201212400,Census Tract 2124,8124430.000000000000000,17298.000000000000000,+29.7863474,-95.2850878,Pleasantville,K006,Inner Loop,56233.502951000002000,87618004.229200006000000
76,77,1,19,111,48201212400,Census Tract 2124,8124430.000000000000000,17298.000000000000000,+29.7863474,-95.2850878,Settegast,K048,BW 8,56233.502951000002000,87618004.229200006000000
77,78,1,20,27,48201212500,Census Tract 2125,10784211.000000000000000,647258.000000000000000,+29.7520836,-95.2767055,Clinton Park Tri-Community,K056, ,76349.387561800002000,123019673.723000000000000
78,79,1,20,34,48201212500,Census Tract 2125,10784211.000000000000000,647258.000000000000000,+29.7520836,-95.2767055,Denver Harbor / Port Houston,K005,Inner Loop,76349.387561800002000,123019673.723000000000000
79,80,1,20,47,48201212500,Census Tract 2125,10784211.000000000000000,647258.000000000000000,+29.7520836,-95.2767055,Fifth Ward,K003,Inner Loop,76349.387561800002000,123019673.723000000000000
80,81,1,20,51,48201212500,Census Tract 2125,10784211.000000000000000,647258.000000000000000,+29.7520836,-95.2767055,Galena Park,K057,BW 8,76349.387561800002000,123019673.723000000000000
81,82,1,20,57,48201212500,Census Tract 2125,10784211.000000000000000,647258.000000000000000,+29.7520836,-95.2767055,Harrisburg / Manchester,K058,BW 8,76349.387561800002000,123019673.723000000000000
82,83,1,20,68,48201212500,Census Tract 2125,10784211.000000000000000,647258.000000000000000,+29.7520836,-95.2767055,Jacinto City,K055,BW 8,76349.387561800002000,123019673.723000000000000
83,84,1,20,86,48201212500,Census Tract 2125,10784211.000000000000000,647258.000000000000000,+29.7520836,-95.2767055,Magnolia Park,K007,Inner Loop,76349.387561800002000,123019673.723000000000000
84,85,1,20,100,48201212500,Census Tract 2125,10784211.000000000000000,647258.000000000000000,+29.7520836,-95.2767055,Northshore,K054,BW 8,76349.387561800002000,123019673.723000000000000
85,86,1,20,108,48201212500,Census Tract 2125,10784211.000000000000000,647258.000000000000000,+29.7520836,-95.2767055,Pleasantville,K006,Inner Loop,76349.387561800002000,123019673.723000000000000
86,87,1,20,110,48201212500,Census Tract 2125,10784211.000000000000000,647258.000000000000000,+29.7520836,-95.2767055,Second Ward,K008,Inner Loop,76349.387561800002000,123019673.723000000000000
87,88,1,21,39,48201220100,Census Tract 2201,1774378.000000000000000,0.000000000000000,+29.8151583,-95.3435294,Eastex - Jensen,K043,BW 8,18687.373140600001000,19095263.776299998000000
88,89,1,21,47,48201220100,Census Tract 2201,1774378.000000000000000,0.000000000000000,+29.8151583,-95.3435294,Fifth Ward,K003,Inner Loop,18687.373140600001000,19095263.776299998000000
89,90,1,21,70,48201220100,Census Tract 2201,1774378.000000000000000,0.000000000000000,+29.8151583,-95.3435294,Kashmere Gardens,K004,Inner Loop,18687.373140600001000,19095263.776299998000000
90,91,1,21,99,48201220100,Census Tract 2201,1774378.000000000000000,0.000000000000000,+29.8151583,-95.3435294,Near Northside,K002,Inner Loop,18687.373140600001000,19095263.776299998000000
91,92,1,21,101,48201220100,Census Tract 2201,1774378.000000000000000,0.000000000000000,+29.8151583,-95.3435294,Northside / Northline,K041,BW 8,18687.373140600001000,19095263.776299998000000
92,93,1,21,130,48201220100,Census Tract 2201,1774378.000000000000000,0.000000000000000,+29.8151583,-95.3435294,Trinity / Houston Gardens,K047,BW 8,18687.373140600001000,19095263.776299998000000
93,94,1,22,39,48201220200,Census Tract 2202,1476187.000000000000000,0.000000000000000,+29.8165740,-95.3650519,Eastex - Jensen,K043,BW 8,19931.304411699999000,15886266.666900000000000
94,95,1,22,58,48201220200,Census Tract 2202,1476187.000000000000000,0.000000000000000,+29.8165740,-95.3650519,Heights,K030,Inner Loop,19931.304411699999000,15886266.666900000000000
95,96,1,22,66,48201220200,Census Tract 2202,1476187.000000000000000,0.000000000000000,+29.8165740,-95.3650519,Independence Heights,K033,BW 8,19931.304411699999000,15886266.666900000000000
96,97,1,22,99,48201220200,Census Tract 2202,1476187.000000000000000,0.000000000000000,+29.8165740,-95.3650519,Near Northside,K002,Inner Loop,19931.304411699999000,15886266.666900000000000
97,98,1,22,101,48201220200,Census Tract 2202,1476187.000000000000000,0.000000000000000,+29.8165740,-95.3650519,Northside / Northline,K041,BW 8,19931.304411699999000,15886266.666900000000000
98,99,1,23,39,48201220300,Census Tract 2203,1980471.000000000000000,0.000000000000000,+29.8242157,-95.3657275,Eastex - Jensen,K043,BW 8,19635.690798600001000,21313226.865699999000000
99,100,1,23,99,48201220300,Census Tract 2203,1980471.000000000000000,0.000000000000000,+29.8242157,-95.3657275,Near Northside,K002,Inner Loop,19635.690798600001000,21313226.865699999000000
100,101,1,23,101,48201220300,Census Tract 2203,1980471.000000000000000,0.000000000000000,+29.8242157,-95.3657275,Northside / Northline,K041,BW 8,19635.690798600001000,21313226.865699999000000
101,102,1,24,39,48201220400,Census Tract 2204,1905168.000000000000000,1147.000000000000000,+29.8315780,-95.3663222,Eastex - Jensen,K043,BW 8,19151.058292700000000,20515245.574099999000000
102,103,1,24,101,48201220400,Census Tract 2204,1905168.000000000000000,1147.000000000000000,+29.8315780,-95.3663222,Northside / Northline,K041,BW 8,19151.058292700000000,20515245.574099999000000
103,104,1,25,66,48201220500,Census Tract 2205,2402063.000000000000000,0.000000000000000,+29.8362174,-95.3814687,Independence Heights,K033,BW 8,26145.338558200001000,25850418.391700000000000
104,105,1,25,99,48201220500,Census Tract 2205,2402063.000000000000000,0.000000000000000,+29.8362174,-95.3814687,Near Northside,K002,Inner Loop,26145.338558200001000,25850418.391700000000000
105,106,1,25,101,48201220500,Census Tract 2205,2402063.000000000000000,0.000000000000000,+29.8362174,-95.3814687,Northside / Northline,K041,BW 8,26145.338558200001000,25850418.391700000000000
106,107,1,26,39,48201220600,Census Tract 2206,1660902.000000000000000,0.000000000000000,+29.8418052,-95.3668801,Eastex - Jensen,K043,BW 8,18381.011627799999000,17874199.717700001000000
107,108,1,26,101,48201220600,Census Tract 2206,1660902.000000000000000,0.000000000000000,+29.8418052,-95.3668801,Northside / Northline,K041,BW 8,18381.011627799999000,17874199.717700001000000
108,109,1,27,39,48201220700,Census Tract 2207,4162771.000000000000000,0.000000000000000,+29.8342967,-95.3496337,Eastex - Jensen,K043,BW 8,29617.487283400002000,44798654.505500004000000
109,110,1,27,99,48201220700,Census Tract 2207,4162771.000000000000000,0.000000000000000,+29.8342967,-95.3496337,Near Northside,K002,Inner Loop,29617.487283400002000,44798654.505500004000000
110,111,1,27,101,48201220700,Census Tract 2207,4162771.000000000000000,0.000000000000000,+29.8342967,-95.3496337,Northside / Northline,K041,BW 8,29617.487283400002000,44798654.505500004000000
111,112,1,28,39,48201220800,Census Tract 2208,1734649.000000000000000,0.000000000000000,+29.8308466,-95.3387038,Eastex - Jensen,K043,BW 8,20253.774711300000000,18667842.802299999000000
112,113,1,29,39,48201220900,Census Tract 2209,1497348.000000000000000,0.000000000000000,+29.8488405,-95.3376376,Eastex - Jensen,K043,BW 8,19272.627955399999000,16114140.413799999000000
113,114,1,30,39,48201221000,Census Tract 2210,2479610.000000000000000,11949.000000000000000,+29.8603325,-95.3448895,Eastex - Jensen,K043,BW 8,24739.045734500000000,26813743.299699999000000
